title,FileName,singer,lyrics,composer,
Sudu Roosa Malak,,Malini Bulathsinhala/H.R.Jothipala,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Piyakaru Pipi Mal,,Moris Wijesinghe,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Piyakaru Pipimal,,Moriss Wijesinghe,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Ada Pamanak Nowe,Ada-Pamanak-Nowe-Apata-Nanda-Malini.flac,Nanda Malini,Karunaratne Abeysekera,Premasiri Khemadasa,
Dedunu Paya,Dedunu-Paya-Pata-Watenawa-Nanda-Malini.flac,Nanda Malini,Geroge Lesley Ranasinghe,Premasiri Khemadasa,
Doi Doi Bilindo,Doi-Doi-Bilindu-Nanda-Malini.flac,Nanda Malini,Arisen Ahubudu,Premasiri Khemadasa,
Eatha Sonduru,Atha-Sonduru-Lowak-Athe-Nanda-Malini.flac,Nanda Malini,Sarath Kure,Premasiri Khemadasa,
Handa Hawun Hande,,Nanda Malini,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Kinchi Pinchi,Hinchi-Pinchi-Hawa-Lama-Gee.flac,Nanda Malini,Father Mersilin Jayakodi,Premasiri Khemadasa,
Maha Giri Arane,Mahagiri-Arane-Nanda-Malini.flac,Nanda Malini,Dharmasiri Gamage,Premasiri Khemadasa,
Rana Gira Joduwai,Rana-Gira-Joduwai-Nanda-Malini.flac,Nanda Malini,Dharmasiri Gamage,Premasiri Khemadasa,
Run Run Meemasso,Run-Run-Malin-Malata-Run-Run-Nanda-Malini.flac,Nanda Malini,Dharmasiri Gamage,Premasiri Khemadasa,
Sulalitha Sulange,Sulalitha-Sulange-Nanda-Malini.flac,Nanda Malini,Father Mersilin Jayakodi,Premasiri Khemadasa,
Wassa Wati Midule,,Nanda Malini,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Sara Sonduru,Sara_Sonduru_Mal_Ptalee_Nanda_Malani.flac,Nanda Malini/Jayantha Rathnayake,Mahagama Sekara / Sugathapala Senarath,Premasiri Khemadasa,
Mangala Madu Madira,Mangala-Madu-Madira-Nanda-Malini.flac,Nanda Malini/Sameera Senarathne,Dharmasiri Gamage,Premasiri Khemadasa,
Aadara Nil Dase,Adara_Nil_Dase_Narada_Disasekara.flac,Narada Disasekara,Dharmasiri Gamage,Premasiri Khemadasa,
Ayiyala Ha Akkala,Narada_Disasekara_Ayyala_Saha_Akkala.flac,Narada Disasekara,Bingiriye Wijekumara,Premasiri Khemadasa,
Chamara Salunawe,Chamara_Salunawe_Neela_Wickramasingha.flac,Neela Wickramasinghe,Dharmasiri Gamage,Premasiri Khemadasa,
Mage Lowata,,Neela Wickramasinghe,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Oba Gedara Enna,Oba-Gedara-Enna--Neela-Wickramasingha.flac,Neela Wickramasinghe,Ranbanda Seneviratne,Premasiri Khemadasa,
Paloswaka Sanda,,Neela Wickramasinghe/ W.D.Amaradewa,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Banbareku Handuwa,Babareku-Handuwa-Abewardana-Baalasuriya-Niranjala-Sarojini.flac,Niranjala Sarojini,Dharmasiri Gamage,Premasiri Khemadasa,
