ISRC,Payee 01,Payee 01 Share,Payee 02,Payee 02 Share,Payee 03,Payee 03 Share
ATR981210818,Rohana Weerasinghe,100,,,,
ATR981210839,Rohana Weerasinghe,100,,,,
ATR981210840,Rohana Weerasinghe,100,,,,
LKA0U2301379,Hemasiri Halpita,100,,,,
LKA0U2301380,Hemasiri Halpita,100,,,,
ATR981210843,Rohana Weerasinghe,100,,,,
LKA0U2301381,Hemasiri Halpita,100,,,,
LKA0U2301382,Hemasiri Halpita,100,,,,
ATR981210846,Rohana Weerasinghe,100,,,,
LKA0U2301681,Hemasiri Halpita,100,,,,
LKA0U2301682,Hemasiri Halpita,100,,,,
ATR981210849,Rohana Weerasinghe,100,,,,
ATR981210850,Rohana Weerasinghe,100,,,,
LKA0W2212390,Hemasiri Halpita,100,,,,
LKA0W2212445,Hemasiri Halpita,100,,,,
LKA0W2280352,Hemasiri Halpita,100,,,,
ATR981210854,Rohana Weerasinghe,100,,,,
ATR981210855,Rohana Weerasinghe,100,,,,
ATR981210856,Rohana Weerasinghe,100,,,,
ATR981210857,Rohana Weerasinghe,100,,,,
LKA0W2280366,Hemasiri Halpita,100,,,,
LKA0W2280379,Hemasiri Halpita,100,,,,
ATR981210860,Rohana Weerasinghe,100,,,,
LKA0W2280385,Hemasiri Halpita,100,,,,
LKA0W2280386,Hemasiri Halpita,100,,,,
ATR981210863,Rohana Weerasinghe,100,,,,
LKA0W2211520,Austin Munasinghe,100,,,,
LKA0W2280428,Hemasiri Halpita,100,,,,
LKA0W2102114,Jagath J Edirisinghe,100,,,,
ATR981210998,Rohana Weerasinghe,100,,,,
LKA0W2102115,Jagath J Edirisinghe,100,,,,
ATR981211000,Rohana Weerasinghe,100,,,,
LKA0W2102116,Jagath J Edirisinghe,100,,,,
ATR981211002,Rohana Weerasinghe,100,,,,
ATR981211003,Rohana Weerasinghe,100,,,,
LKA0W2102117,Jagath J Edirisinghe,100,,,,
LKA0W2102118,Jagath J Edirisinghe,100,,,,
LKA0W2102120,Jagath J Edirisinghe,100,,,,
LKA0W2102121,Jagath J Edirisinghe,100,,,,
LKA0W2102122,Jagath J Edirisinghe,100,,,,
ATR981211009,Rohana Weerasinghe,100,,,,
ATR981211010,Rohana Weerasinghe,100,,,,
ATR981211011,Rohana Weerasinghe,100,,,,
ATR981211012,Rohana Weerasinghe,100,,,,
ATR981211013,Rohana Weerasinghe,100,,,,
LKA0W2102125,Jagath J Edirisinghe,100,,,,
LKA0W2102126,Jagath J Edirisinghe,100,,,,
LKA0W2102127,Jagath J Edirisinghe,100,,,,
ATR981211017,Rohana Weerasinghe,100,,,,
ATR981211018,Rohana Weerasinghe,100,,,,
ATR981211019,Rohana Weerasinghe,100,,,,
ATR981211020,Rohana Weerasinghe,100,,,,
LKA0W2102128,Jagath J Edirisinghe,100,,,,
ATR981211026,Rohana Weerasinghe,100,,,,
LKA0W2102129,Jagath J Edirisinghe,100,,,,
ATR981211028,Rohana Weerasinghe,100,,,,
ATR981211029,Rohana Weerasinghe,100,,,,
LKA0W2102130,Jagath J Edirisinghe,100,,,,
LKA0W2102131,Jagath J Edirisinghe,100,,,,
ATR981211032,Rohana Weerasinghe,100,,,,
LKA0W2102132,Jagath J Edirisinghe,100,,,,
ATR981211034,Rohana Weerasinghe,100,,,,
ATR981211035,Rohana Weerasinghe,100,,,,
LKA0W2102133,Jagath J Edirisinghe,100,,,,
ATR981211037,Rohana Weerasinghe,100,,,,
ATR981211038,Rohana Weerasinghe,100,,,,
ATR981211039,Rohana Weerasinghe,100,,,,
LKA0W2102134,Jagath J Edirisinghe,100,,,,
ATR981211041,Rohana Weerasinghe,100,,,,
LKA0W2102135,Jagath J Edirisinghe,100,,,,
ATR981211043,Rohana Weerasinghe,100,,,,
ATR981211044,Rohana Weerasinghe,100,,,,
LKA0W2102136,Jagath J Edirisinghe,100,,,,
LKA0W2102137,Jagath J Edirisinghe,100,,,,
ATR981211047,Rohana Weerasinghe,100,,,,
ATR981211048,Rohana Weerasinghe,100,,,,
LKA0W2102138,Jagath J Edirisinghe,100,,,,
ATR981211084,Rohana Weerasinghe,100,,,,
ATR981211085,Rohana Weerasinghe,100,,,,
ATR981211086,Rohana Weerasinghe,100,,,,
ATR981211087,Rohana Weerasinghe,100,,,,
ATR981211088,Rohana Weerasinghe,100,,,,
LKA0W2102139,Jagath J Edirisinghe,100,,,,
ATR981211090,Rohana Weerasinghe,100,,,,
ATR981211091,Rohana Weerasinghe,100,,,,
ATR981211092,Rohana Weerasinghe,100,,,,
ATR981211093,Rohana Weerasinghe,100,,,,
ATR981211094,Rohana Weerasinghe,100,,,,
LKA0W2102140,Jagath J Edirisinghe,100,,,,
LKA0W2102141,Jagath J Edirisinghe,100,,,,
ATR981211097,Rohana Weerasinghe,100,,,,
LKA0W2102144,Jagath J Edirisinghe,100,,,,
ATR981211099,Rohana Weerasinghe,100,,,,
ATR981211100,Rohana Weerasinghe,100,,,,
ATR981211101,Rohana Weerasinghe,100,,,,
ATR981211102,Rohana Weerasinghe,100,,,,
LKA0W2212599,Rohana Weerasinghe,100,,,,
ATR981211104,Rohana Weerasinghe,100,,,,
ATR981211105,Rohana Weerasinghe,100,,,,
LKA0W2211786,Lionel Algama,100,,,,
LKA0W2211793,Lionel Algama,100,,,,
ATR981211108,Rohana Weerasinghe,100,,,,
ATR981211141,Rohana Weerasinghe,100,,,,
ATR981211142,Rohana Weerasinghe,100,,,,
LKA0W2211795,Lionel Algama,100,,,,
ATR981211144,Rohana Weerasinghe,100,,,,
ATR981211145,Rohana Weerasinghe,100,,,,
ATR981211146,Rohana Weerasinghe,100,,,,
ATR981211147,Rohana Weerasinghe,100,,,,
ATR981211148,Rohana Weerasinghe,100,,,,
LKA0W2211800,Lionel Algama,100,,,,
LKA0W2211806,Lionel Algama,100,,,,
LKA0W2211811,Lionel Algama,100,,,,
ATR981211152,Rohana Weerasinghe,100,,,,
LKA0W2211812,Lionel Algama,100,,,,
LKA0W2211817,Lionel Algama,100,,,,
LKA0W2212636,W.D. Amaradeva,100,,,,
LKA0W2211536,Gunadasa Kapuge,100,,,,
LKA0W2211545,Gunadasa Kapuge,100,,,,
LKA0W2213086,Methun SK,100,,,,
LKA0W2300212,Methun SK,100,,,,
ATR981211160,Rohana Weerasinghe,100,,,,
ATR981211161,Rohana Weerasinghe,100,,,,
LKA0U2301720,Namal Udugama,100,,,,
ATR981211163,Rohana Weerasinghe,100,,,,
LKA0U2302077,Namal Udugama,100,,,,
LKA0U2302254,Namal Udugama,100,,,,
ATR981211192,Rohana Weerasinghe,100,,,,
ATR981211193,Rohana Weerasinghe,100,,,,
ATR981211194,Rohana Weerasinghe,100,,,,
LKA0W2213233,Namal Udugama,100,,,,
LKA0W2213287,Namal Udugama,100,,,,
LKA0W2270076,Namal Udugama,100,,,,
ATR981211198,Rohana Weerasinghe,100,,,,
ATR981211199,Rohana Weerasinghe,100,,,,
ATR981211200,Rohana Weerasinghe,100,,,,
LKA0W2270119,Namal Udugama,100,,,,
ATR981211202,Rohana Weerasinghe,100,,,,
ATR981211203,Rohana Weerasinghe,100,,,,
ATR981211204,Rohana Weerasinghe,100,,,,
ATR981211205,Rohana Weerasinghe,100,,,,
ATR981211206,Rohana Weerasinghe,100,,,,
LKA0W2213227,Namal Udugama,100,,,,
ATR981211208,Rohana Weerasinghe,100,,,,
ATR981211209,Rohana Weerasinghe,100,,,,
ATR981211210,Rohana Weerasinghe,100,,,,
ATR981211211,Rohana Weerasinghe,100,,,,
LKA0W2213246,Namal Udugama,100,,,,
ATR981211213,Rohana Weerasinghe,100,,,,
LKA0W2213248,Namal Udugama,100,,,,
ATR981211215,Rohana Weerasinghe,100,,,,
LKA0W2213251,Namal Udugama,100,,,,
LKA0W2213255,Namal Udugama,100,,,,
LKA0W2213257,Namal Udugama,100,,,,
LKA0W2213258,Namal Udugama,100,,,,
LKA0W2213267,Namal Udugama,100,,,,
LKA0W2213270,Namal Udugama,100,,,,
LKA0W2213274,Namal Udugama,100,,,,
ATR981211312,Rohana Weerasinghe,100,,,,
ATR981211313,Rohana Weerasinghe,100,,,,
LKA0W2213296,Namal Udugama,100,,,,
LKA0W2213301,Namal Udugama,100,,,,
ATR981211316,Rohana Weerasinghe,100,,,,
ATR981211317,Rohana Weerasinghe,100,,,,
ATR981211318,Rohana Weerasinghe,100,,,,
ATR981211319,Rohana Weerasinghe,100,,,,
ATR981211320,Rohana Weerasinghe,100,,,,
LKA0W2213302,Namal Udugama,100,,,,
ATR981211322,Rohana Weerasinghe,100,,,,
ATR981211323,Rohana Weerasinghe,100,,,,
ATR981211324,Rohana Weerasinghe,100,,,,
ATR981211325,Rohana Weerasinghe,100,,,,
ATR981211326,Rohana Weerasinghe,100,,,,
ATR981211327,Rohana Weerasinghe,100,,,,
LKA0W2213304,Namal Udugama,100,,,,
LKA0W2213305,Namal Udugama,100,,,,
ATR981211330,Rohana Weerasinghe,100,,,,
LKA0W2213306,Namal Udugama,100,,,,
LKA0W2213308,Namal Udugama,100,,,,
ATR981211399,Rohana Weerasinghe,100,,,,
LKA0W2213309,Namal Udugama,100,,,,
LKA0W2213311,Namal Udugama,100,,,,
LKA0W2213389,Namal Udugama,100,,,,
LKA0W2213391,Namal Udugama,100,,,,
ATR981211404,Rohana Weerasinghe,100,,,,
LKA0W2213393,Namal Udugama,100,,,,
LKA0W2213394,Namal Udugama,100,,,,
LKA0W2213395,Namal Udugama,100,,,,
ATR981211408,Rohana Weerasinghe,100,,,,
ATR981211409,Rohana Weerasinghe,100,,,,
ATR981211410,Rohana Weerasinghe,100,,,,
LKA0W2213396,Namal Udugama,100,,,,
ATR981211412,Rohana Weerasinghe,100,,,,
LKA0W2213397,Namal Udugama,100,,,,
ATR981211414,Rohana Weerasinghe,100,,,,
LKA0W2213398,Namal Udugama,100,,,,
LKA0W2213399,Namal Udugama,100,,,,
ATR981211417,Rohana Weerasinghe,100,,,,
ATR981211418,Rohana Weerasinghe,100,,,,
ATR981211419,Rohana Weerasinghe,100,,,,
LKA0W2213403,Namal Udugama,100,,,,
LKA0W2213404,Namal Udugama,100,,,,
LKA0W2213420,Namal Udugama,100,,,,
LKA0W2213426,Namal Udugama,100,,,,
ATR981211536,Rohana Weerasinghe,100,,,,
LKA0W2213674,Namal Udugama,100,,,,
ATR981211538,Rohana Weerasinghe,100,,,,
LKA0W2270011,Namal Udugama,100,,,,
ATR981211540,Rohana Weerasinghe,100,,,,
ATR981211541,Rohana Weerasinghe,100,,,,
LKA0W2270015,Namal Udugama,100,,,,
ATR981211543,Rohana Weerasinghe,100,,,,
